Suite en D la r� sol,2. Courante grave,Nicolas A. Leb�gue,,Nicolas A. Leb�gue,Second livre de clavessin,,1687,#1,Mathias R�sel,Mathias R�sel,,,,,Suite in D la re sol,2. Courante grave,courante,Dm,3,"guitar, alto recorder",score,,,,https://lutemusic.org/composers/Lebeque/suite_en_d_la_re_sol/02_courante_grave/Lebegue_Courante_rec_+_guit.ft3,https://lutemusic.org/composers/Lebeque/suite_en_d_la_re_sol/02_courante_grave/pdf/Lebegue_Courante_rec_+_guit.pdf,https://lutemusic.org/composers/Lebeque/suite_en_d_la_re_sol/02_courante_grave/midi/Lebegue_Courante_rec_+_guit.mid,1573937420,1658865904
Spanish measures,,Richard Allison,,GB-Lspencer:Private Library of Robert Spencer,Margaret Board lute book,,1625,f.4v,Sarge Gerbode,Sarge Gerbode,,,,,Spanish Measures,,lute duet,Gm,3,"lute 1:6-course, lute 2:6-course",score,,,https://lutemusic.org/facsimiles/GB-Lspencer_Private_Library_of_Robert_Spencer/Margaret_Board_lute_book_1625/04v.png,https://lutemusic.org/composers/Lute_ensemble/Allison/04v_allison_spanish_measures.ft3,https://lutemusic.org/composers/Lute_ensemble/Allison/pdf/04v_allison_spanish_measures.pdf,https://lutemusic.org/composers/Lute_ensemble/Allison/midi/04v_allison_spanish_measures.mid,1573937420,1658865904
Spanish measures,,Richard Allison,,GB-Lspencer:Private Library of Robert Spencer,Margaret Board lute book,,1625,f.4v,Sarge Gerbode,Sarge Gerbode,,,,,Spanish Measures,,lute duet,Gm,3,"lute 1:6-course, lute 2:6-course",lute 1,,,https://lutemusic.org/facsimiles/GB-Lspencer_Private_Library_of_Robert_Spencer/Margaret_Board_lute_book_1625/04v.png,https://lutemusic.org/composers/Lute_ensemble/Allison/04v_allison_spanish_measures_1.ft3,https://lutemusic.org/composers/Lute_ensemble/Allison/pdf/04v_allison_spanish_measures_1.pdf,https://lutemusic.org/composers/Lute_ensemble/Allison/midi/04v_allison_spanish_measures_1.mid,1573937420,1658865904
Spanish measures,,Richard Allison,,GB-Lspencer:Private Library of Robert Spencer,Margaret Board lute book,,1625,f.4v,Sarge Gerbode,Sarge Gerbode,,,,,Spanish Measures,,lute duet,Gm,3,"lute 1:6-course, lute 2:6-course",lute 2,,,https://lutemusic.org/facsimiles/GB-Lspencer_Private_Library_of_Robert_Spencer/Margaret_Board_lute_book_1625/04v.png,https://lutemusic.org/composers/Lute_ensemble/Allison/04v_allison_spanish_measures_2.ft3,https://lutemusic.org/composers/Lute_ensemble/Allison/pdf/04v_allison_spanish_measures_2.pdf,https://lutemusic.org/composers/Lute_ensemble/Allison/midi/04v_allison_spanish_measures_2.mid,1573937420,1658865904
A treble,,Anonymous,,GB-Lbl:British Library,ms Add 31392,,1595,f.22va,Sarge Gerbode,Sarge Gerbode,,,,,A treble,,lute duet,GM,3,"treble:6-course, ground:6-course",score,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Add_31392_1595/22v.png,https://lutemusic.org/composers/Lute_ensemble/Anon/10_a_treble_duet/10_a_treble_duet.ft3,https://lutemusic.org/composers/Lute_ensemble/Anon/10_a_treble_duet/pdf/10_a_treble_duet.pdf,https://lutemusic.org/composers/Lute_ensemble/Anon/10_a_treble_duet/midi/10_a_treble_duet.mid,1573937420,1588712685
A treble,,Anonymous,,GB-Lbl:British Library,ms Add 31392,,1595,f.22va,Sarge Gerbode,Sarge Gerbode,,,,,A treble,,lute duet,GM,3,"treble:6-course, ground:6-course",treble,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Add_31392_1595/22v.png,https://lutemusic.org/composers/Lute_ensemble/Anon/10_a_treble_duet/10_a_treble_duet_alt.ft3,https://lutemusic.org/composers/Lute_ensemble/Anon/10_a_treble_duet/pdf/10_a_treble_duet_alt.pdf,https://lutemusic.org/composers/Lute_ensemble/Anon/10_a_treble_duet/midi/10_a_treble_duet_alt.mid,1573937420,1588712685
Drewries accordes,,Anonymous,,GB-Lbl:British Library,ms Eg. 2046:Pickering lute book,,1616,f.6,Sarge Gerbode,Sarge Gerbode,,,,,Drewries Accordes,,lute duet,GM,3,"lute 1:6-course, lute 2:6-course",score,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Eg._2046_Pickering_lute_book_1616/06.png,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/drewries_accordes.ft3,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/pdf/drewries_accordes.pdf,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/midi/drewries_accordes.mid,1573937420,1588630202
Drewries accordes,,Anonymous,,GB-Lbl:British Library,ms Eg. 2046:Pickering lute book,,1616,f.6,Sarge Gerbode,Sarge Gerbode,,,,,Drewries accordes,,lute duet,GM,3,"lute 1:6-course, lute 2:6-course",lute 1,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Eg._2046_Pickering_lute_book_1616/06.png,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/drewries_accordes_1.ft3,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/pdf/drewries_accordes_1.pdf,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/midi/drewries_accordes_1.mid,1573937420,1588630202
Drewries accordes,,Anonymous,,GB-Lbl:British Library,ms Eg. 2046:Pickering lute book,,1616,f.6,Sarge Gerbode,Sarge Gerbode,,,,,Drewries accordes,,lute duet,GM,3,"lute 1:6-course, lute 2:6-course",lute 2,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Eg._2046_Pickering_lute_book_1616/06.png,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/drewries_accordes_2.ft3,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/pdf/drewries_accordes_2.pdf,https://lutemusic.org/composers/Lute_ensemble/Anon/drewries_accordes/midi/drewries_accordes_2.mid,1573937420,1588630202
La rossignol,,Anonymous,,GB-Lbl:British Library,ms Eg. 2046:Pickering lute book,,1616,f.8,Sarge Gerbode,Sarge Gerbode,,,,,La Rossignol,,lute duet,Gm,3,"lute 1:6-course, lute 2:6-course",score,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Eg._2046_Pickering_lute_book_1616/08.png,https://lutemusic.org/composers/Lute_ensemble/Anon/la_rossignol/rossignol_duet.ft3,https://lutemusic.org/composers/Lute_ensemble/Anon/la_rossignol/pdf/rossignol_duet.pdf,https://lutemusic.org/composers/Lute_ensemble/Anon/la_rossignol/midi/rossignol_duet.mid,1573937420,1658865904
